NOC,Year,Total_Medals,Age,Height,Weight,ID,Prev_Medals
FIJ,2016,1,22.0,190.0,105.0,1,0.0
FIN,1906,4,29.5,180.0,91.25,4,0.0
FIN,1908,5,25.6,176.5,82.625,5,4.0
FIN,1912,26,25.653847,178.0625,76.71875,26,5.0
FIN,1920,34,28.411764,176.375,74.5625,34,26.0
FIN,1924,37,27.81081,174.57692,70.17308,37,34.0
FIN,1928,25,28.64,175.45,69.425,25,37.0
FIN,1932,25,27.2,174.85,71.575,25,25.0
FIN,1936,20,28.5,175.85715,68.53571,20,25.0
FIN,1948,22,30.863636,174.5,66.26923,22,20.0
FIN,1952,22,27.863636,176.3125,73.84375,22,22.0
FIN,1956,15,26.733334,172.0,70.36667,15,22.0
FIN,1960,5,25.2,179.2,72.4,5,15.0
FIN,1964,5,27.2,176.4,72.4,5,5.0
FIN,1968,4,24.5,175.0,73.625,4,5.0
FIN,1972,8,24.0,179.25,65.6875,8,4.0
FIN,1976,6,26.0,182.83333,73.583336,6,8.0
FIN,1980,8,24.875,179.25,73.3125,8,6.0
FIN,1984,12,25.0,180.83333,81.875,12,8.0
FIN,1988,4,26.0,186.75,92.75,4,12.0
FIN,1992,5,24.6,183.4,81.5,5,4.0
FIN,1996,4,27.0,181.0,83.75,4,5.0
FIN,2000,4,31.5,179.5,86.5,4,4.0
FIN,2004,2,29.0,177.0,90.0,2,4.0
FIN,2008,4,30.25,181.25,76.25,4,2.0
FIN,2012,3,27.666666,174.66667,71.0,3,4.0
FIN,2016,1,35.0,165.0,60.0,1,3.0
FRA,1896,11,19.0,175.93576,72.812584,11,0.0
FRA,1900,109,30.036585,169.0,68.0,109,11.0
FRA,1904,2,27.037977,175.93576,72.812584,2,109.0
FRA,1906,41,32.74286,170.0,73.0,41,2.0
FRA,1908,19,28.631578,179.75,77.333336,19,41.0
FRA,1912,15,28.714285,171.83333,70.0,15,19.0
FRA,1920,42,31.74359,170.28572,69.818184,42,15.0
FRA,1924,40,27.325,173.0,75.6,40,42.0
FRA,1928,25,31.666666,170.6,64.6,25,40.0
FRA,1932,20,28.9,171.36363,72.875,20,25.0
FRA,1936,19,25.68421,173.0,83.0,19,20.0
FRA,1948,32,28.9375,180.63637,76.27273,32,19.0
FRA,1952,18,26.38889,175.16667,68.833336,18,32.0
FRA,1956,14,26.571428,172.2,68.0,14,18.0
FRA,1960,5,23.6,178.4,70.0,5,14.0
FRA,1964,15,25.8,174.13333,68.933334,15,5.0
FRA,1968,15,25.666666,177.26666,71.86667,15,15.0
FRA,1972,13,26.0,179.92308,74.38461,13,15.0
FRA,1976,9,28.88889,172.55556,69.666664,9,13.0
FRA,1980,14,23.357143,180.42857,79.42857,14,9.0
FRA,1984,28,24.892857,177.42857,73.46429,28,14.0
FRA,1988,16,26.6875,180.1875,73.125,16,28.0
FRA,1992,29,26.724138,178.96552,74.24138,29,16.0
FRA,1996,37,27.64865,176.67567,70.54054,37,29.0
FRA,2000,38,27.078947,176.8421,72.68421,38,37.0
FRA,2004,33,24.848484,177.75757,69.545456,33,38.0
FRA,2008,41,25.756098,180.36586,75.51219,41,33.0
FRA,2012,35,25.485714,180.85715,76.42857,35,41.0
FRA,2016,42,28.285715,181.64285,78.78571,42,35.0
FRG,1968,26,27.846153,180.23077,77.46154,26,0.0
FRG,1972,40,26.65,178.5,74.675,40,26.0
FRG,1976,39,27.333334,179.21622,73.51351,39,40.0
FRG,1984,59,25.644068,180.13559,76.45763,59,39.0
FRG,1988,40,26.125,182.125,77.625,40,59.0
GAB,2012,1,23.0,190.0,97.0,1,0.0
GBR,1896,9,23.5,188.0,102.0,9,0.0
GBR,1900,43,29.512821,183.375,82.5,43,9.0
GBR,1904,2,29.0,187.0,83.0,2,43.0
GBR,1906,25,28.958334,177.85715,70.14286,25,2.0
GBR,1908,145,30.224806,172.9,70.42105,145,25.0
GBR,1912,41,30.268293,170.66667,63.857143,41,145.0
GBR,1920,43,27.783783,175.83333,71.6,43,41.0
GBR,1924,35,25.67742,178.0,71.833336,35,43.0
GBR,1928,22,25.809525,175.28572,70.0,22,35.0
GBR,1932,17,24.588236,175.875,69.2,17,22.0
GBR,1936,14,26.428572,176.8,65.4,14,17.0
GBR,1948,27,30.481482,170.75,57.583332,27,14.0
GBR,1952,11,25.636364,174.0,63.8,11,27.0
GBR,1956,24,25.5,176.0,66.0,24,11.0
GBR,1960,20,21.35,173.9,66.15,20,24.0
GBR,1964,18,25.722221,178.55556,71.388885,18,20.0
GBR,1968,13,29.76923,178.46153,72.07692,13,18.0
GBR,1972,18,25.833334,177.83333,73.0,18,13.0
GBR,1976,13,25.923077,182.61539,79.61539,13,18.0
GBR,1980,21,22.714285,179.5238,73.47619,21,13.0
GBR,1984,37,26.513514,176.56757,70.945946,37,21.0
GBR,1988,24,27.666666,180.20833,75.541664,24,37.0
GBR,1992,20,25.15,177.9,77.45,20,24.0
GBR,1996,15,25.133333,185.73334,81.73333,15,20.0
GBR,2000,28,28.964285,181.07143,80.71429,28,15.0
GBR,2004,30,27.566668,178.7,72.9,30,28.0
GBR,2008,48,26.541666,181.35417,77.21875,48,30.0
GBR,2012,65,26.323076,179.12308,73.32258,65,48.0
GBR,2016,67,27.402985,177.43283,72.106064,67,65.0
GDR,1968,25,24.44,177.2,73.0,25,0.0
GDR,1972,66,23.015152,174.75757,71.416664,66,25.0
GDR,1976,90,22.277779,175.67778,71.36667,90,66.0
GDR,1980,126,21.84127,177.2619,71.81746,126,90.0
GDR,1988,102,23.5,178.92157,74.7598,102,126.0
GEO,1996,2,24.5,175.5,87.0,2,0.0
GEO,2000,6,26.333334,174.5,80.333336,6,2.0
GEO,2004,4,25.0,174.75,82.75,4,6.0
GEO,2008,6,30.666666,176.5,78.0,6,4.0
GEO,2012,7,24.285715,176.14285,78.28571,7,6.0
GEO,2016,7,24.714285,182.0,101.0,7,7.0
GER,1896,14,27.285715,163.0,63.0,14,0.0
GER,1900,9,21.333334,175.89052,73.28911,9,14.0
GER,1904,16,22.916666,170.0,75.0,16,9.0
GER,1906,14,25.25,173.0,70.333336,14,16.0
GER,1908,13,23.0,177.66667,73.5,13,14.0
GER,1912,26,25.538462,180.33333,62.333332,26,13.0
GER,1928,39,31.487179,174.84616,69.666664,39,26.0
GER,1932,24,27.541666,171.0,73.166664,24,39.0
GER,1936,101,27.69307,175.4,77.25,101,24.0
GER,1952,24,28.208334,173.66667,73.0,24,101.0
GER,1956,26,25.576923,171.92308,71.38461,26,24.0
GER,1960,42,22.952381,176.2619,73.333336,42,26.0
GER,1964,50,24.82,178.36,76.08,50,42.0
GER,1992,82,25.45122,179.06097,74.86585,82,50.0
GER,1996,65,26.584616,181.33846,79.07031,65,82.0
GER,2000,56,27.5,181.89285,78.24107,56,65.0
GER,2004,49,29.0,179.14285,74.14286,49,56.0
GER,2008,43,29.534883,177.23256,73.790695,43,49.0
GER,2012,44,26.545454,179.31818,77.97727,44,43.0
GER,2016,42,28.452381,178.4762,76.35714,42,44.0
GHA,1960,1,22.0,175.0,63.0,1,0.0
GHA,1964,1,26.0,172.0,57.0,1,1.0
GHA,1972,1,28.0,177.0,75.0,1,1.0
GHA,1992,1,18.0,181.0,73.0,1,1.0
GRE,1896,44,21.142857,175.82843,74.5621,44,0.0
GRE,1904,2,24.0,185.0,81.0,2,44.0
GRE,1906,35,27.333334,183.0,87.25,35,2.0
GRE,1908,4,26.5,185.0,89.333336,4,35.0
